Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
2203,[506],115,88,[7],"[4244, 5070, 925, 1749]",[4244]
2204,"[911, 674]",185,65,"[23, 17, 18, 6, 4, 1, 8, 22, 13, 0, 7, 19]","[1278, 2990, 1031, 3461, 3846, 1473, 31, 541, 1143, 1745, 378, 3077, 1653, 4751, 1930]","[1278, 1031, 3846, 541, 1473, 31, 2990, 3077, 3461, 1930]"
2205,[224],70,30,"[6, 8, 9, 10, 7]","[2205, 766, 4212, 4995, 1880, 1567, 3493, 2, 603]","[2205, 766, 4995, 4212, 1880, 1567, 3493, 2, 603]"
2206,"[42, 646, 597, 845, 202, 552, 385, 108, 495, 477, 628, 460, 112]",12,54,"[17, 1, 23, 15, 18, 0, 2, 5, 16, 19, 20]","[794, 2206, 3877, 2141, 2048, 419, 4523, 3864, 4060, 4558, 3521, 3675, 2641, 2043, 69, 2989, 4537, 2703, 1454, 1007, 39, 1766, 3012, 3818, 1981, 848, 3281, 4755, 3326, 243, 549]","[794, 2206, 4060, 3521, 2043, 69, 4537, 2048, 1454, 39, 3012, 3877, 3818, 419, 3281, 3326, 4523, 549]"
2207,"[574, 913, 687, 1063, 869, 459, 1062, 365, 925, 72, 306, 504, 321, 507, 849, 552, 598, 316, 677, 917, 731, 831, 890, 994, 230, 192, 64, 156, 435, 349, 371, 388, 1023, 986, 37, 834, 697]",82,74,"[7, 15, 21, 16, 17, 18, 12, 8, 13, 11, 20, 14, 19, 0, 2, 9, 23, 22]","[3789, 3046, 2363, 332, 3664, 3912, 3438, 3701, 339, 2757, 3227, 2396, 908, 3743, 2608, 1840, 2295, 400, 4393, 3116, 3437, 1133, 5, 2829, 173, 962, 3565, 917, 3771, 753, 363, 3096, 3542, 2591, 1363, 3544, 1400, 2239, 4787, 1573, 3703, 611, 2720, 718, 2915, 2636, 2496, 396, 1369, 3351, 4082, 3519, 75, 1200, 2937, 125, 1062, 1480, 1614, 1222, 5121, 121, 3967, 3426, 2276, 5074, 632, 4865, 1574, 591, 1731, 3481, 4121]","[2363, 3789, 332, 3664, 3912, 3701, 2396, 908, 3438, 339, 5, 3565, 2757, 3771, 2591, 3544, 2239, 1573, 611, 718, 396, 3351, 3519, 3743, 125, 2608, 1480, 1222, 121, 1840, 3046, 3426, 400, 4393, 632, 1574, 3116, 4121]"
2208,[993],133,8,"[1, 0, 21, 4, 12, 2, 23, 3, 13, 20, 10, 5, 18, 14, 16, 8, 11, 19, 9, 15]","[4861, 4983, 921, 2608, 604, 2964, 2208, 1329, 4719, 4562, 1391, 1241, 4373, 2610, 3900, 329, 2911]","[4861, 2608, 921, 1391, 4983, 2964, 2208, 1329, 4373, 4719, 2610, 604, 3900, 2911]"
2209,[679],70,54,"[18, 11, 23, 9, 14, 13, 16, 20, 15]","[2209, 1286, 2485, 2444, 3728, 4253, 2082, 3116, 1097, 1821, 1419, 3042]","[2209, 1286, 2444, 2485, 3728, 4253, 1097, 3042]"
2210,"[841, 516, 936]",109,67,"[18, 13, 12, 11]","[2715, 957, 3589, 4486, 3706, 2591, 2817, 1088, 3929, 443, 1737, 3632, 3622, 283]","[3589, 4486, 2817, 3929, 1737, 2715, 3706, 3632, 283]"
2211,"[827, 570, 447, 423]",95,24,"[13, 22, 20, 16, 19, 18, 14]","[261, 4067, 1106, 1016, 2052, 2713, 796, 1494, 603, 3388, 703, 360]","[261, 1016, 2713, 1494, 603, 3388, 360]"
2212,"[628, 796, 533, 935, 398, 895, 1036]",61,54,"[14, 13, 15, 10]","[1300, 3845, 4875, 4849, 1864, 4250, 2658, 5026, 5067, 1132, 640, 3562, 606, 4863, 3763, 5086]","[3845, 1864, 2658, 1300, 5067, 640, 3562, 4863, 5086]"
2213,[1019],203,67,"[14, 16, 17, 11, 9, 10, 7, 6, 5, 8, 23]","[3626, 2213, 3715, 88, 247, 1254, 433, 3440, 2257, 1640, 5058, 3180, 2873, 2526, 1595, 1517, 1267, 481, 1146, 156]","[3626, 3715, 2213, 2257, 3180, 433, 88, 481, 3440, 156]"
2214,"[112, 748, 662, 862, 300, 629, 532]",123,54,"[16, 21, 17, 19, 14, 20, 12]","[3897, 4148, 1505, 2557, 1417, 685, 4280, 4306, 2899, 4613, 2244, 2423, 3570, 4025, 1565, 4098]","[1417, 4280, 2899, 2244, 1505, 4148, 3897, 2423, 4025, 4098]"
2215,"[324, 1008, 81, 876, 45, 330, 953, 252]",61,67,"[14, 17, 15, 9, 7, 8, 11, 10, 12, 16, 19]","[2347, 3478, 3708, 1460, 1880, 2215, 1560, 375, 4293, 3647, 13, 2251, 3045, 3367, 1627, 3345, 3820, 141, 96, 2842, 2025, 3261, 2164, 4925, 1292, 3514, 865, 4514, 3457, 4822, 1007, 1339, 2064, 3248, 2081, 4399, 3949]","[2347, 1460, 3478, 3045, 1627, 3820, 96, 2215, 1560, 375, 2842, 1880, 2164, 4925, 4293, 3708, 3514, 4514, 13, 3647, 4822, 2064, 2081]"
2216,"[114, 795]",55,88,"[16, 13, 17, 15, 11, 20, 12]","[2837, 2542, 2763, 1156, 1254, 4007, 4947, 3918, 4260, 813, 2111, 1003]","[1254, 2542, 1156, 2763, 4947, 2837, 813, 4007, 1003]"
2217,[205],117,68,"[17, 5, 16, 6, 8, 18, 19, 7, 10, 12, 15, 9, 13, 20, 11]","[2217, 5128, 578, 2090, 3072, 3122, 712, 952, 3939, 2617, 2607, 923, 2885, 2942, 3161]","[2217, 578, 5128, 2090, 3072, 3122, 3939, 712, 952, 2885, 2617, 2942, 2607]"
2218,"[131, 206, 378, 135, 113, 872, 136]",59,74,"[17, 21, 16, 22, 15, 1, 0]","[4815, 3999, 3035, 3128, 532, 769, 4766, 1460, 3329, 3835, 1427, 4405, 5028, 934, 824, 1446, 5074, 4442, 1964, 2484]","[3035, 532, 4766, 3329, 1427, 5028, 4815, 934, 1446, 4442, 2484]"
2219,[241],70,74,"[22, 17, 13, 16, 9, 2, 3, 20]","[3890, 339, 2253, 363, 2854, 1369, 547, 4529, 3422, 325, 1885, 2375, 4005, 4410, 3708, 3391, 4368, 276, 4730, 2363]","[3890, 339, 1369, 2253, 2375, 4410, 3708, 276, 4529, 3422, 547, 2854, 363, 2363]"
2220,[455],70,54,"[13, 10, 12, 11, 17, 9]","[2220, 3522, 1382, 1419, 267, 2335, 1880, 1771, 5054]","[2220, 3522, 1382, 267, 2335, 1771, 1419]"
2221,[480],37,68,"[15, 16, 18, 17, 11, 13, 7, 20, 21]","[3884, 3766, 2221, 4330, 3306, 3698, 1880, 3983, 4239, 434, 814, 776]","[3766, 3884, 3306, 2221, 1880, 4239, 434]"
2222,"[687, 994, 718, 832, 984]",115,76,"[14, 20, 9, 18, 8]","[4365, 4151, 3771, 2222, 1744, 213, 3601, 172, 3172, 4463, 3012, 1686, 2612, 3774, 4374, 2273]","[4365, 2222, 1744, 3771, 172, 3172, 4151, 3012, 1686, 3774, 2273]"
2223,"[406, 396, 413, 718, 983, 1000, 167, 903, 88, 637, 478, 252, 253, 422, 218, 646, 997, 254, 673, 929, 568, 1007]",59,31,"[22, 21, 23, 1, 20, 16, 17, 0, 11, 13, 18, 19]","[1422, 113, 3961, 4164, 503, 4648, 2889, 3037, 2367, 3039, 4848, 1596, 1820, 958, 624, 25, 1485, 1594, 1001, 3713, 2677, 1353, 1146, 1411, 3213, 1684, 1261, 2784, 2966, 200, 2288, 3601, 3774, 4192, 4956, 4936, 2487, 2409, 2440, 1451, 1128, 2120, 4000, 232, 3470, 385, 2321, 28]","[3961, 503, 2889, 2367, 4848, 113, 1820, 624, 1485, 1001, 1146, 3213, 1261, 2966, 2288, 3774, 4956, 4936, 2409, 1451, 1128, 4000, 3470, 2321, 1422]"
2224,"[1004, 186]",107,43,"[19, 9, 12, 6, 17, 23, 3, 10]","[1330, 449, 540, 1004, 3802, 4727, 4460, 4917, 4923, 3693, 658, 1926, 3225, 1424, 444, 3615]","[1330, 3802, 449, 4727, 4917, 540, 3693, 3615]"
2225,"[364, 1062, 625, 22, 12, 786, 691, 715, 292, 500]",61,54,"[19, 13, 18, 15, 11, 14, 9, 10, 20]","[1047, 4689, 311, 357, 5071, 2148, 552, 1334, 1731, 2571, 1842, 3037, 2433, 3326, 2823, 2760, 1902, 2845, 536, 4793, 2138, 3711, 385, 2183, 1848, 1746, 2572, 3702, 949, 2767, 1639, 2239, 4393, 2129, 2479, 547, 3135, 2553]","[1047, 2148, 311, 552, 4689, 5071, 357, 2823, 1902, 536, 2138, 385, 1848, 3702, 1639, 4393, 1334, 2129, 2479, 547, 3135, 2553]"
2226,"[964, 555, 1032, 596, 250, 975, 805, 238]",74,54,"[16, 13, 17, 19, 21, 4, 5, 1, 15]","[2226, 2116, 385, 549, 730, 2357, 228, 4536, 754, 4977, 2069, 3827, 1087, 676, 4984]","[2116, 730, 2226, 385, 4536, 3827, 676, 4984]"
2227,"[23, 77]",201,67,"[17, 1, 23, 6, 19, 18, 21, 20, 13, 4, 8, 10, 12, 22, 11]","[2227, 3502, 2597, 3073, 4422, 4510, 2964, 212, 3328, 2857, 1682, 4792, 2079, 1372, 2249, 3711, 1528, 3944, 4673, 3528, 4829, 2759, 2878, 571, 2371]","[2227, 3502, 2597, 3328, 4422, 4510, 2964, 212, 3711, 2857, 1528, 4673, 4829, 2878, 1682, 4792, 2079]"
2228,"[34, 457, 1049, 295]",117,54,"[19, 10, 15, 11, 20]","[755, 4220, 2977, 340, 4867, 1563, 2228, 3447, 3308, 1020, 602, 4359, 2608, 1133, 251, 4913]","[755, 4220, 1563, 3308, 602, 4359, 4867, 2228, 4913]"
2229,"[418, 255]",174,16,"[17, 6, 14, 15, 12, 18, 11, 10, 7, 9, 8]","[2700, 2559, 2136, 281, 157, 2229, 3800, 2622, 4450, 5014, 2433, 3873]","[2700, 2559, 281, 157, 2229, 3800, 2136, 2433, 3873, 2622, 4450]"
2230,[29],67,69,"[15, 6, 14, 8, 18, 0, 5, 7, 21, 17]","[4223, 2230, 2608, 4102, 1937, 1672, 2812, 2158, 1510, 4531, 2239, 715, 3519]","[4223, 2230, 2608, 1937, 2812, 2239, 715]"
2231,"[561, 684, 49, 460, 722, 311, 666, 81, 519]",187,54,"[20, 19, 12, 21, 14, 23]","[2025, 1464, 4331, 171, 3817, 1517, 4977, 2371, 4117, 1123, 1133, 3394, 1114, 1097, 1007, 3203, 536]","[3817, 4977, 2025, 4117, 1464, 1133, 1114, 4331, 1007, 536]"
2232,"[938, 702, 991, 781, 776, 891, 541, 76, 392, 414, 877, 112, 307, 708]",12,24,"[23, 1, 20, 14, 17, 21, 18, 2, 16, 0, 22]","[1442, 3211, 8, 2836, 2608, 2931, 4389, 2263, 208, 4563, 3812, 3851, 1928, 2439, 546, 1617, 5112, 4575, 131, 3903, 478, 4371, 3436, 3182, 2074, 2936, 1902, 5031, 365, 351, 809, 124]","[2836, 2608, 4389, 208, 3812, 1928, 546, 5112, 4575, 3211, 478, 3436, 1442, 2074, 1902, 5031, 351, 124]"
2233,"[332, 1013, 692, 744, 979]",37,67,"[9, 14, 8, 17, 11, 19, 23, 21, 13]","[4164, 469, 2073, 4619, 2233, 3060, 2408, 3654, 2262, 4009, 3314, 2141, 780, 3514, 1091, 4489, 2322, 2487, 2081]","[4164, 4619, 469, 2073, 2233, 4009, 3314, 2141, 3514, 4489, 2322, 2081]"
2234,[1038],129,74,"[17, 18, 1, 0, 22, 20, 21]","[2387, 3466, 4361, 2794, 2710, 946, 5044]","[3466, 2387, 2794, 2710, 4361]"
2235,"[240, 380, 426, 385]",194,24,"[6, 7, 11, 10, 12, 16, 14, 17, 15, 18, 9]","[4005, 163, 4979, 265, 2897, 2403, 1291, 4806, 980, 2795, 854, 2675, 259, 3352, 3664, 1936, 160, 4852, 4563, 3851, 1460, 462, 3424]","[163, 4979, 2403, 265, 2897, 2795, 854, 259, 4806, 980, 1936, 160, 4563, 1460, 3424]"
2236,[1030],163,67,"[10, 18, 11, 19, 13, 14, 12, 8]","[2236, 264, 4083, 2371, 1865, 3274, 2409, 3519, 211, 635, 1823, 4001, 2262]","[2236, 264, 2409, 211, 4083, 2371, 1823, 2262]"
2237,"[136, 379, 254, 866, 734, 857, 49, 1007, 916, 790, 495, 588, 943, 81, 309, 206, 471, 259, 34, 245, 268, 439, 1031, 914]",4,54,"[18, 21, 13, 12, 20, 19, 23, 17, 22, 2, 14, 0, 1]","[2571, 2237, 3235, 619, 4989, 755, 91, 3519, 2753, 1289, 786, 347, 1608, 3330, 123, 371, 2025, 2141, 818, 5013, 1427, 2280, 1879, 2149, 3528, 4184, 15, 4066, 3040, 1887, 3597, 3417, 51, 4774, 3868, 2487, 3234, 1910, 4688, 1960, 2503, 4393, 2547, 4183, 1567, 685, 1533, 676, 2249, 4772, 1463, 4832, 3345, 284, 385, 4059, 372, 295, 1652, 186, 4213, 34, 4455, 4281, 1933, 3968, 1775, 4370, 3642]","[2571, 2237, 619, 3235, 1608, 755, 123, 2025, 818, 1427, 1879, 3528, 15, 3040, 3597, 51, 91, 3868, 2487, 1910, 3519, 1289, 786, 2503, 4989, 2547, 685, 676, 4772, 4832, 284, 4059, 295, 186, 4213, 4455, 1933, 1775, 3642]"
2238,[118],67,58,[8],"[3018, 4287, 3527, 2835, 2238, 1833]","[3018, 2835, 3527, 4287, 2238]"
2239,"[759, 378, 222, 712, 166, 972, 235, 1063, 634, 978, 347, 238, 1040, 900, 721, 472, 299, 29, 151, 212, 364, 30, 455, 1083, 146, 309, 55, 613, 353, 575, 905, 412, 22, 1061, 399, 486, 1017, 414, 551, 630, 692, 533, 869, 72, 986, 476, 682, 431, 715, 1028, 142, 285, 997, 672, 814, 584, 912, 694, 242, 558, 388, 219, 596, 522, 772, 250, 651, 765, 837, 703, 425, 542, 805, 282, 504, 1032, 160, 965, 807, 456, 795, 270, 601, 985, 376]",120,54,"[19, 10, 16, 23, 14, 15, 4, 18, 13, 20, 6, 5, 11, 2, 3, 12, 22, 0, 17, 9, 21, 1, 7, 8]","[4115, 3456, 2239, 4659, 12, 4496, 493, 1575, 975, 3281, 3812, 2309, 3227, 882, 5044, 2797, 4742, 2123, 1938, 1646, 67, 2437, 2642, 619, 3413, 2357, 2190, 4804, 482, 4612, 4393, 3971, 1711, 2032, 4468, 107, 1089, 4990, 2079, 2286, 4408, 3604, 4000, 2906, 3519, 617, 330, 3966, 4121, 3461, 4847, 2087, 2230, 332, 1775, 3440, 1627, 5008, 3875, 2501, 4428, 175, 2855, 2813, 4809, 1197, 939, 4639, 3827, 4922, 2988, 699, 1460, 724, 556, 1200, 3845, 2166, 4879, 2153, 2559, 2068, 2414, 231, 3130, 1448, 385, 1759, 1854, 1680, 96, 726, 2780, 166, 4539, 2516, 1406, 4560, 4499, 3382, 3151, 2207, 4489, 2200, 2989, 3941, 4669, 1195, 875, 1611, 41, 2636, 2534, 4529, 3297, 1382, 1805, 4500, 4182, 919, 106, 2274, 296, 4895, 3473, 2658, 611, 465, 2391, 1920, 2264, 1215, 2675, 979, 4329, 3508, 1814, 4830, 788, 205, 3855, 239, 5030, 2470, 4793, 4059, 786, 243, 843, 1660, 2225, 629, 1602, 1233, 1103, 444, 3619, 386, 118, 3433, 1003, 4426, 5029, 3809, 4984, 4900, 1718, 1106, 844, 954, 1132, 3345, 2334, 51, 667, 3116, 5099, 4576, 1559, 2510, 441, 4093, 3128, 2601, 1821, 2823, 3381, 3091, 4325, 1219, 3363, 3129, 661, 3224, 16, 741, 2630]","[3456, 4115, 2239, 12, 3281, 4496, 67, 2437, 3812, 2642, 3227, 3413, 4659, 1711, 3604, 2123, 4121, 2087, 1627, 2501, 175, 2813, 1197, 939, 3827, 4922, 2309, 1460, 556, 3845, 619, 2166, 4879, 2559, 2414, 3130, 2190, 385, 1854, 1680, 726, 482, 4539, 4612, 4560, 4499, 3151, 4489, 493, 3941, 1195, 3971, 41, 2534, 2032, 1805, 4182, 919, 106, 107, 1089, 296, 4895, 2286, 2658, 4408, 465, 2391, 1215, 5044, 979, 4329, 2797, 3508, 4830, 3855, 4793, 4059, 786, 243, 843, 2225, 2079, 1233, 1103, 3619, 386, 118, 2906, 3433, 4426, 3809, 4984, 4900, 1106, 954, 3345, 617, 51, 3116, 3519, 1559, 441, 330, 1938, 3128, 2601, 2823, 3966, 3091, 4325, 3363, 661, 16, 3461]"
2240,[21],89,41,"[18, 5, 10, 14, 22, 17, 19, 15, 23]","[4433, 2131, 2914, 3582, 3895, 5049, 2240, 3346, 3266, 3277]","[3582, 4433, 2914, 5049, 3266, 2131, 2240]"
2241,[954],67,30,"[13, 23, 17, 8, 9, 6, 0, 7, 18, 2, 14, 12, 5, 10]","[731, 3200, 3655, 112, 3504, 1642, 4992, 719, 2241, 4338, 4382, 2394, 1778, 443, 3511, 3087]","[731, 3200, 3655, 719, 112, 1642, 4992, 2394, 2241, 1778, 443, 4338, 3511, 4382, 3087, 3504]"
2242,"[496, 1000, 214, 1002]",12,31,"[16, 0, 19, 2, 22, 23, 3]","[2242, 4528, 1875, 2794, 2321, 2819, 1518, 3118, 3416, 2141, 2002, 2000, 2633, 1914, 4186]","[2242, 4528, 1875, 2321, 3416, 2002, 2633, 4186]"
2243,"[70, 417, 305, 959, 557, 323]",83,61,"[23, 15, 18, 16, 14, 11, 8, 20, 19, 9, 0, 12, 13, 22, 1]","[2243, 3524, 1131, 4417, 2976, 652, 3058, 5056, 3314, 3549, 4214, 4923, 3252, 4216, 370, 839, 2626, 2619, 4402]","[2243, 3524, 1131, 4417, 3058, 652, 3549, 4216, 2976, 370, 839, 5056, 4402]"
2244,"[314, 84, 1002, 969, 575, 629, 455, 1032, 606, 459]",12,54,"[17, 13, 20, 14, 12, 18, 6, 19]","[3812, 3522, 3274, 3413, 3712, 1214, 1334, 394, 5067, 3366, 2391, 2744, 2865, 5008, 3144, 4459, 2214, 3519, 1932, 1428, 1914, 68, 815]","[3413, 1214, 394, 3522, 3366, 2744, 5008, 4459, 3519, 1428, 1914, 68, 815]"
2245,"[615, 923, 827]",40,78,"[8, 7, 9, 22, 21, 19, 11, 6]","[509, 3033, 3661, 3604, 2166, 2147, 890, 1958, 4806, 910, 3101, 261, 912, 5104]","[509, 3033, 261, 912, 5104, 2166]"
2246,"[236, 19, 800, 828, 827, 495, 981, 532, 184, 809, 679]",12,54,"[21, 0, 23, 15, 20, 22, 19, 18, 14]","[4696, 76, 3226, 783, 2285, 848, 2765, 1943, 3217, 3, 3728, 5054, 1339, 4685, 1648, 2197, 261, 5088, 1966, 4018, 4974, 1718, 1681, 109, 1422, 3110]","[4696, 3226, 2285, 848, 1943, 5054, 4685, 2197, 5088, 4018, 1718, 109, 3110]"
2247,"[520, 1010]",90,76,"[18, 3, 12, 0, 19, 23, 1, 4]","[1978, 2019, 2869, 2785, 3554, 4263, 184, 2389, 4799, 4315, 4099, 2867, 2495, 3440]","[2019, 2869, 3554, 1978, 2389, 4315, 2867, 3440]"
2248,"[1048, 26]",117,54,"[18, 21, 20, 7, 19]","[4622, 4489, 4437, 398, 1453, 176, 4979, 2194, 4881, 2075, 549, 3847]","[4622, 1453, 176, 2194, 4489, 2075, 3847, 4437]"
2249,"[45, 877, 136, 888, 210, 1076, 206, 981, 601, 957, 618, 190, 849, 461, 709, 495, 10, 23, 264, 412, 133, 71, 941, 899, 866, 690, 169, 459]",44,54,"[19, 0, 1, 20, 21, 3, 18, 15, 2, 17, 22, 12, 23]","[4678, 73, 3704, 535, 2798, 3982, 3616, 1421, 61, 4688, 2227, 3012, 836, 385, 1422, 4575, 3689, 818, 1007, 4405, 4281, 460, 5093, 2787, 1482, 5028, 4173, 3729, 2272, 1627, 2675, 1943, 2237, 2264, 1405, 2033, 3417, 667, 4341, 5009, 403, 1289, 4455, 1630, 1978, 2937, 2486, 1202, 1215, 3045, 2701, 4472, 3631, 2578, 2322, 669, 2734, 3349, 1629]","[4678, 3982, 4688, 2227, 836, 73, 4575, 818, 4405, 460, 2787, 3704, 5028, 3729, 535, 2798, 1627, 2237, 1405, 3417, 4341, 403, 4455, 2486, 3616, 3045, 2701, 1421, 2578, 669, 2734, 1629]"
2250,[1059],45,80,"[18, 16, 8, 15]","[1776, 2852, 3038, 1432, 1815, 144, 2529, 485, 814]","[1776, 3038, 2852, 1815, 814]"
2251,"[339, 191, 238, 471, 19, 304, 414, 170, 231, 296, 83, 45, 178, 969, 233, 725, 1078, 1081, 628, 381, 875, 660, 258, 42, 843, 89]",44,67,"[15, 9, 10, 20, 21, 22, 23, 19, 0]","[2251, 385, 1629, 76, 3168, 2015, 4447, 5, 4092, 2215, 3130, 1948, 4183, 3519, 4910, 4514, 1173, 4359, 2300, 2656, 3235, 3864, 2513, 1569, 3633, 2466, 2570, 3651, 811, 3467, 1855, 3672, 3195, 4000, 4202, 165, 2081, 1550, 4070, 4632, 4103, 1865, 971, 1794, 4560, 3071, 5053, 1992, 4966, 1452, 822, 507, 1763, 3488]","[76, 2015, 2251, 5, 2215, 1948, 3519, 4514, 4359, 385, 3235, 2513, 1569, 2466, 3651, 3467, 3672, 4000, 165, 1550, 4632, 1865, 1794, 3071, 1992, 1452, 507, 3488]"
2252,"[687, 584, 213, 327, 408, 1062, 692, 207, 229, 489, 1057, 740, 596, 129, 968, 582, 633]",61,67,"[0, 7, 5, 11, 15, 23, 14, 17, 19, 10, 12, 13, 20, 18]","[1801, 1399, 916, 3501, 4518, 34, 649, 1517, 3059, 1197, 1371, 4185, 955, 1058, 91, 2798, 2726, 4887, 5100, 1421, 1446, 3843, 3436, 1305, 3746, 843, 547, 4546, 4879, 2357, 777, 243, 2623, 5040, 1897, 1133, 4279]","[916, 4518, 649, 1517, 1197, 4185, 1058, 2798, 4887, 1421, 3843, 1305, 843, 4546, 2357, 243, 1801, 1897, 4279]"
2253,"[260, 714, 367, 98, 315, 743, 150, 849, 241, 543]",115,65,"[17, 8, 21, 23, 20, 1, 0, 22, 9, 15, 11, 16, 5, 14, 13, 7, 18, 6, 4, 3, 2]","[598, 810, 363, 2775, 253, 3657, 452, 2139, 519, 3422, 3339, 2219, 1885, 3146, 4432, 696, 287, 547, 1553, 462, 4829, 4454, 3519, 3418, 813, 935, 1630, 3081, 1980, 1197, 2015, 1369, 3145, 2265, 3374, 948, 990, 2956, 1166, 933, 2286, 1926, 3135, 901, 1383, 2073, 1046, 1749, 659, 769, 472, 477, 1334, 4738, 3268, 656, 1777, 352]","[598, 363, 810, 3339, 519, 3422, 3146, 4432, 2139, 1553, 1885, 3519, 1980, 287, 2015, 547, 2219, 2265, 990, 4829, 2286, 3135, 901, 1749, 769, 472, 1334, 813, 3418, 4738, 3268, 352, 1630]"
2254,[229],70,67,"[9, 11, 14, 10, 13, 15, 7, 8]","[77, 1197, 2108, 874, 2254, 3461, 123, 3635, 4422, 3233, 1059, 3059, 3116, 4154, 4980, 224]","[1197, 2108, 874, 3461, 2254, 3635, 3233, 123, 1059, 3059, 4154, 224]"
2255,[735],129,58,"[2, 0, 23, 1, 21, 15, 20, 22, 5, 3]","[3421, 3591, 308, 3339, 3767, 3822, 2331, 3776, 3978, 3644, 17, 3443, 222, 339, 2488, 3165, 1444, 3461, 2135, 3963, 1503, 2173, 3406, 2396, 4994]","[3591, 3421, 3767, 2331, 3822, 308, 1444, 3461, 3165, 3644, 3339]"
2256,[144],103,3,"[14, 10, 11, 13, 9, 12, 8, 7]","[584, 2256, 578, 1713]","[584, 2256, 578, 1713]"
2257,"[101, 1019, 761, 957, 977]",112,88,"[9, 12, 10, 11, 14, 15]","[1580, 4810, 3056, 2257, 1133, 899, 3413, 3389, 1991, 2870, 2878, 948, 669, 1870, 2760, 2141, 2213, 433]","[3056, 4810, 1580, 1133, 3413, 1991, 2257, 2878, 1870, 2141, 433]"
2258,[313],164,45,"[6, 10, 13, 16, 7, 23, 8, 12, 14, 15, 19, 18, 0, 20, 11, 17]","[4661, 3136, 1360, 3908, 2258, 3747, 470, 1097, 1868, 5104, 3628]","[3136, 4661, 1360, 2258, 3908, 1097, 3747, 470, 1868, 5104, 3628]"
2259,[175],83,50,"[21, 2, 23, 22, 9, 20, 17]","[2694, 470, 4392, 5134, 2259, 1717, 4893, 1510, 1948, 2079]","[470, 2694, 4392, 5134, 2259, 1948]"
2260,[631],201,58,"[3, 23, 0, 1, 8, 2, 6, 9]","[2671, 401, 2435, 2260, 2859, 4853, 2539, 2049, 823, 2371, 618, 995, 1276, 5124]","[2671, 2859, 401, 2435, 2260, 2371, 2049, 4853, 2539, 5124]"
2261,[403],12,54,"[10, 19, 22, 21, 16, 0, 23, 1, 8, 7, 20, 12, 6, 17, 18, 4, 11, 13]","[2196, 2261, 619, 4772, 371, 1015, 1953, 1453, 4393, 3519, 3812, 1515, 2951, 4506, 1336, 273, 3116, 901, 2604, 2688, 877, 2912, 974, 1880, 3843, 1769, 2905, 1900, 2857, 2421, 4870, 2707, 63]","[2196, 2261, 1953, 1453, 619, 3116, 1015, 4393, 4772, 3519, 3812, 901, 1515, 371, 1880, 1769, 1900, 2951, 4506, 1336, 2707, 273]"
2262,"[744, 655, 960, 332, 972, 276, 324, 1030, 899, 680, 647, 1018, 338]",183,67,"[18, 14, 16, 1, 17, 19, 20]","[1273, 434, 70, 804, 3708, 2164, 469, 2233, 4186, 1902, 2599, 547, 4844, 1387, 1431, 907, 3461, 1949, 2536, 2661, 2893, 3060, 2726, 2236, 264]","[1273, 804, 2164, 2233, 1902, 2599, 434, 4844, 1431, 3461, 2536, 2893, 2726, 264]"
2263,"[781, 392, 888, 1048, 800, 889]",117,24,"[7, 19, 8, 9, 11, 12, 18, 17, 13]","[3519, 2263, 3182, 171, 4437, 2793, 4306, 2232, 3409, 4685, 1685, 895, 1662, 246, 4715, 3137, 4393, 1888, 2780, 380, 73, 2460, 787]","[3519, 2263, 2232, 4685, 1685, 1662, 4715, 4393, 171, 2780, 73, 787, 4437]"
2264,[601],117,31,"[20, 18, 19, 21, 11, 12, 23, 17, 22, 13, 16, 0]","[2264, 3611, 5127, 2965, 145, 4289, 4999, 4339, 2153, 2249, 3326, 2759, 5028, 4281, 3417, 4696, 3281, 2287, 1875, 3628, 2101, 61, 3812, 583, 2239, 1215, 3875, 2321]","[2264, 3611, 5127, 4339, 2249, 2759, 4281, 2965, 3281, 145, 1875, 2101, 4289, 3812, 2239, 3875]"
2265,"[547, 42, 615, 260, 966]",203,70,"[14, 19, 17, 18, 22, 16, 20, 23, 21, 15, 1, 0]","[3177, 3371, 3290, 1796, 4790, 250, 2265, 2895, 3653, 53, 5, 2253, 363, 2795, 3604, 509, 1142, 3101, 3863, 4120, 3731, 3128, 4351]","[3177, 250, 2265, 3290, 2895, 5, 363, 4790, 1796, 3371, 1142, 3101, 4120, 3653, 4351]"
2266,"[321, 309, 1047, 1058, 969, 878, 672, 749, 117, 61, 717, 995]",40,67,"[20, 19, 1, 10, 21, 18, 22, 0, 12, 17, 6, 8, 23, 11]","[547, 4829, 2266, 1992, 3787, 1100, 5089, 2409, 91, 5029, 2150, 380, 3185, 3749, 4060, 1060, 2859, 4768, 4895, 2345, 989, 2637, 908, 253, 3789, 2878, 302, 339, 2079, 4608, 3812, 5110, 1383, 2822, 970, 4282, 1367, 4621, 3028, 968, 5088, 5054, 1991, 2868, 4428, 1640, 3842, 3765, 4202, 2081, 3112, 2043, 1517, 319]","[4829, 2266, 380, 3185, 4060, 2859, 4895, 989, 908, 3789, 302, 339, 2079, 3812, 5110, 5089, 2822, 4282, 4621, 2409, 91, 968, 5054, 1991, 2868, 547, 4428, 1992, 3765, 4202, 2150, 3112, 1517, 319]"
2267,[624],200,44,"[10, 9, 12, 6, 13, 19, 7, 11, 15, 14]","[2568, 2267, 1508, 2636]","[2568, 2267, 1508, 2636]"
